label,key,description,condition,category,technique,track_type,organism,strain,first_author,pubmed_id
Vu_WT_rep3_density,Vu et al WT control (rep 3) density,"Read density, WT control",wild type,Gene Expression,RNA-Seq,Density plot,Candida glabrata,CBS138,Vu,34591857
Vu_WT_rep2_alignments,Vu et al WT control (rep 2) alignments,"Aligned non-strand-specific paired-end reads, WT control",wild type,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Vu,34591857
Vu_WT_rep2_coverage,Vu et al WT control (rep 2) coverage,"Read coverage, WT control",wild type,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Vu,34591857
Vu_WT_rep2_density,Vu et al WT control (rep 2) density,"Read density, WT control",wild type,Gene Expression,RNA-Seq,Density plot,Candida glabrata,CBS138,Vu,34591857
Vu_WT_rep1_alignments,Vu et al WT control (rep 1) alignments,"Aligned non-strand-specific paired-end reads, WT control",wild type,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Vu,34591857
Vu_WT_rep1_coverage,Vu et al WT control (rep 1) coverage,"Read coverage, WT control",wild type,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Vu,34591857
Vu_WT_rep1_density,Vu et al WT control (rep 1) density,"Read density, WT control",wild type,Gene Expression,RNA-Seq,Density plot,Candida glabrata,CBS138,Vu,34591857
,,,,,,,,,,
Ni_ckb2_MMS_rep3_alignments,Ni et al DGE for ckb2 MMS (rep 3) alignments,"Aligned non-strand-specific paired-end reads, ckb2 mutant MMS",mutant 0.01% MMS,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Ni,37891489
Ni_ckb2_MMS_rep3_coverage,Ni et al DGE for ckb2 MMS (rep 3) coverage,"Read coverage, ckb2 mutant MMS",mutant 0.01% MMS,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Ni,37891489
Ni_ckb2_MMS_rep3_density,Ni et al DGE for ckb2 MMS (rep 3) density,"Read density, ckb2 mutant MMS",mutant 0.01% MMS,Gene Expression,RNA-Seq,Density plot,Candida glabrata,CBS138,Ni,37891489
Ni_ckb2_MMS_rep2_alignments,Ni et al DGE for ckb2 MMS (rep 2) alignments,"Aligned non-strand-specific paired-end reads, ckb2 mutant MMS",mutant 0.01% MMS,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Ni,37891489
Ni_ckb2_MMS_rep2_coverage,Ni et al DGE for ckb2 MMS (rep 2) coverage,"Read coverage, ckb2 mutant MMS",mutant 0.01% MMS,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Ni,37891489
Ni_ckb2_MMS_rep2_density,Ni et al DGE for ckb2 MMS (rep 2) density,"Read density, ckb2 mutant MMS",mutant 0.01% MMS,Gene Expression,RNA-Seq,Density plot,Candida glabrata,CBS138,Ni,37891489
Ni_ckb2_MMS_rep1_alignments,Ni et al DGE for ckb2 MMS (rep 1) alignments,"Aligned non-strand-specific paired-end reads, ckb2 mutant MMS",mutant 0.01% MMS,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Ni,37891489
Ni_ckb2_MMS_rep1_coverage,Ni et al DGE for ckb2 MMS (rep 1) coverage,"Read coverage, ckb2 mutant MMS",mutant 0.01% MMS,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Ni,37891489
Ni_ckb2_MMS_rep1_density,Ni et al DGE for ckb2 MMS (rep 1) density,"Read density, ckb2 mutant MMS",mutant 0.01% MMS,Gene Expression,RNA-Seq,Density plot,Candida glabrata,CBS138,Ni,37891489
Ni_ckb1_MMS_rep2_alignments,Ni et al DGE for ckb1 MMS (rep 2) alignments,"Aligned non-strand-specific paired-end reads, ckb1 mutant MMS",mutant 0.01% MMS,Gene Expression,RNA-Seq,Aligned reads,Candida glabrata,CBS138,Ni,37891489
Ni_ckb1_MMS_rep2_coverage,Ni et al DGE for ckb1 MMS (rep 2) coverage,"Read coverage, ckb1 mutant MMS",mutant 0.01% MMS,Gene Expression,RNA-Seq,Coverage plot,Candida glabrata,CBS138,Ni,37891489
Ni_ckb1_MMS_rep2_density,Ni et al DGE for ckb1 MMS (rep 2) density,"Read density, ckb1 mutant MMS",mutant 0.01% MMS,Gene Expression,RNA-Seq,Density plot,Candida glabrata,CBS138,Ni,37891489
